##FastQC	0.11.4
>>Basic Statistics	pass
#Measure	Value
Filename	R14_REEVESBYISLAND_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43222270
Sequences flagged as poor quality	0
Sequence length	100
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.72810983782203	37.0	37.0	37.0	37.0	37.0
2	35.872863410459466	37.0	37.0	37.0	37.0	37.0
3	35.95410858800336	37.0	37.0	37.0	37.0	37.0
4	35.94717679103851	37.0	37.0	37.0	37.0	37.0
5	36.006947737821264	37.0	37.0	37.0	37.0	37.0
6	35.92459713476409	37.0	37.0	37.0	37.0	37.0
7	35.92273857897792	37.0	37.0	37.0	37.0	37.0
8	35.96292464509615	37.0	37.0	37.0	37.0	37.0
9	35.94958617397929	37.0	37.0	37.0	37.0	37.0
10-11	35.92341369391288	37.0	37.0	37.0	37.0	37.0
12-13	35.903701621872244	37.0	37.0	37.0	37.0	37.0
14-15	35.883713754506644	37.0	37.0	37.0	37.0	37.0
16-17	35.877924782756665	37.0	37.0	37.0	37.0	37.0
18-19	35.8735224572888	37.0	37.0	37.0	37.0	37.0
20-21	35.86343710082788	37.0	37.0	37.0	37.0	37.0
22-23	35.847247934918734	37.0	37.0	37.0	37.0	37.0
24-25	35.8039366280392	37.0	37.0	37.0	37.0	37.0
26-27	35.77257880023423	37.0	37.0	37.0	37.0	37.0
28-29	35.760004807706764	37.0	37.0	37.0	37.0	37.0
30-31	35.75769914444568	37.0	37.0	37.0	37.0	37.0
32-33	35.74685569499242	37.0	37.0	37.0	37.0	37.0
34-35	35.735789015708804	37.0	37.0	37.0	37.0	37.0
36-37	35.719397431000274	37.0	37.0	37.0	37.0	37.0
38-39	35.700447223156026	37.0	37.0	37.0	37.0	37.0
40-41	35.689134235661385	37.0	37.0	37.0	37.0	37.0
42-43	35.68726312847521	37.0	37.0	37.0	37.0	37.0
44-45	35.666225755842994	37.0	37.0	37.0	37.0	37.0
46-47	35.65533015734712	37.0	37.0	37.0	37.0	37.0
48-49	35.63582351181463	37.0	37.0	37.0	37.0	37.0
50-51	35.61415893936159	37.0	37.0	37.0	37.0	37.0
52-53	35.61118322799797	37.0	37.0	37.0	37.0	37.0
54-55	35.58987457160394	37.0	37.0	37.0	37.0	37.0
56-57	35.59045788201314	37.0	37.0	37.0	37.0	37.0
58-59	35.58523403560248	37.0	37.0	37.0	37.0	37.0
60-61	35.59661685978085	37.0	37.0	37.0	37.0	37.0
62-63	35.578876757282764	37.0	37.0	37.0	37.0	37.0
64-65	35.578991096488	37.0	37.0	37.0	37.0	37.0
66-67	35.524709183483424	37.0	37.0	37.0	37.0	37.0
68-69	35.53701210047505	37.0	37.0	37.0	37.0	37.0
70-71	35.53112942702917	37.0	37.0	37.0	37.0	37.0
72-73	35.50649742597971	37.0	37.0	37.0	37.0	37.0
74-75	35.49743818406576	37.0	37.0	37.0	37.0	37.0
76-77	35.45422686036619	37.0	37.0	37.0	37.0	37.0
78-79	35.4512379613565	37.0	37.0	37.0	37.0	37.0
80-81	35.44509095658326	37.0	37.0	37.0	37.0	37.0
82-83	35.45226415688023	37.0	37.0	37.0	37.0	37.0
84-85	35.43581363264817	37.0	37.0	37.0	37.0	37.0
86-87	35.428915417908414	37.0	37.0	37.0	37.0	37.0
88-89	35.439770805651804	37.0	37.0	37.0	37.0	37.0
90-91	35.40528764454065	37.0	37.0	37.0	37.0	37.0
92-93	35.36290267725411	37.0	37.0	37.0	37.0	37.0
94-95	35.34367364323993	37.0	37.0	37.0	37.0	37.0
96-97	35.34427104360785	37.0	37.0	37.0	37.0	37.0
98-99	35.3149918317571	37.0	37.0	37.0	37.0	37.0
100	35.28179417693703	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.00894850276174708
1101	2	0.05831056995795336
1101	3	0.11012136868527023
1101	4	0.06550248243558343
1101	5	0.006148228300268954
1101	6	0.07343521943761289
1101	7	0.06071265193788378
1101	8	0.050217635314673714
1101	9	0.10526665997942786
1101	10-11	0.09293092765362587
1101	12-13	0.10097480228245104
1101	14-15	0.09583996935641181
1101	16-17	0.11751143112100948
1101	18-19	0.10988101070846312
1101	20-21	0.11803146816871646
1101	22-23	0.08347226447888545
1101	24-25	0.05696869729368359
1101	26-27	0.07702540994154816
1101	28-29	0.06351416212930161
1101	30-31	0.0659771482764171
1101	32-33	0.09946920762738642
1101	34-35	0.05364711506098985
1101	36-37	0.12155910725619634
1101	38-39	0.036409692812881644
1101	40-41	0.10530496639290732
1101	42-43	0.13909040628298186
1101	44-45	0.13419178382118702
1101	46-47	0.09043837212445283
1101	48-49	0.102617368517123
1101	50-51	0.1282709353850109
1101	52-53	0.06739325964961296
1101	54-55	0.12810705802344557
1101	56-57	0.1512586347558269
1101	58-59	0.11009760511630162
1101	60-61	0.1606431795565797
1101	62-63	0.1407745357501824
1101	64-65	0.11360283791749737
1101	66-67	0.15220670244737278
1101	68-69	0.0965712518099835
1101	70-71	0.15168949633856244
1101	72-73	0.1063490955133588
1101	74-75	0.09986627064343168
1101	76-77	0.1880585471491969
1101	78-79	0.13482220565958158
1101	80-81	0.19026174463463974
1101	82-83	0.12846701477467803
1101	84-85	0.11775692109269187
1101	86-87	0.08572306462438917
1101	88-89	0.07286409720067866
1101	90-91	0.13590374089830703
1101	92-93	0.1196235692892813
1101	94-95	0.10106878857005341
1101	96-97	0.1100316575530158
1101	98-99	0.09353557726765871
1101	100	0.21794310317942234
1102	1	-0.32824649759093916
1102	2	-0.09308186305919008
1102	3	-0.009369648400493702
1102	4	-0.09038176905212225
1102	5	-0.04820700240248499
1102	6	0.0070398194269571945
1102	7	-0.008109766824695441
1102	8	-0.04300130371523636
1102	9	-0.08333592148933633
1102	10-11	-0.002870199251972849
1102	12-13	0.025256467255275084
1102	14-15	0.01353947182296622
1102	16-17	-0.017498118652262917
1102	18-19	0.03740078051045259
1102	20-21	0.03157097109451712
1102	22-23	0.0472304544840938
1102	24-25	0.06923551454733712
1102	26-27	0.06284220822909248
1102	28-29	0.06562303428222549
1102	30-31	0.023057346007540502
1102	32-33	0.028644399375522767
1102	34-35	-0.010908271106153222
1102	36-37	0.04141712509034079
1102	38-39	0.0034337901107335256
1102	40-41	-0.022492459745038218
1102	42-43	0.028986257020179096
1102	44-45	0.08081550846419105
1102	46-47	0.02770194605741949
1102	48-49	0.03393412153114639
1102	50-51	0.009108373156685445
1102	52-53	3.4603297557112E-5
1102	54-55	0.07671585798512126
1102	56-57	0.06357303408684345
1102	58-59	0.030038541675999397
1102	60-61	4.6031228640686095E-4
1102	62-63	0.05080692122217556
1102	64-65	0.07470110116987883
1102	66-67	0.09230723358347603
1102	68-69	0.09448622650642591
1102	70-71	0.06332063919835207
1102	72-73	0.047848674389619816
1102	74-75	0.05800901628911248
1102	76-77	0.0356125988032332
1102	78-79	0.06364672629868551
1102	80-81	0.10471647070957601
1102	82-83	0.11099636336120255
1102	84-85	0.07269740419704362
1102	86-87	0.0018246121424283501
1102	88-89	0.03119785425795385
1102	90-91	-0.0024298312893051843
1102	92-93	-0.002042269141739439
1102	94-95	0.06869217426990559
1102	96-97	0.05807427487682304
1102	98-99	0.10670830217343052
1102	100	0.12258330758992741
1103	1	0.08159461321182704
1103	2	0.06191971396946627
1103	3	0.04103019368611882
1103	4	0.007905504766242188
1103	5	0.026837395257395258
1103	6	-0.016296396766769305
1103	7	-0.0564231263192454
1103	8	-0.04235077165536438
1103	9	-0.004594732138535562
1103	10-11	-0.02913704488383928
1103	12-13	0.04370900277928769
1103	14-15	0.04058429039532996
1103	16-17	0.0287004621333935
1103	18-19	0.039455313876523235
1103	20-21	0.019749370495254936
